goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_RETURNED_ALLOCATING_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 6660204	        46.06 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6675050	        49.22 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6605743	        48.04 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 5949726	        46.77 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 5942449	        47.17 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 5807082	        45.87 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6445033	        47.38 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6598236	        46.55 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6519794	        47.12 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6369046	        47.04 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6380778	        47.96 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6526332	        46.07 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6239126	        45.77 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6458925	        47.29 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6485048	        45.25 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6455143	        45.85 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6529582	        46.61 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6565845	        46.57 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6469245	        46.92 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6624577	        45.19 ns/op	     176 B/op	       3 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_RETURNED_ALLOCATING_K2_POINTER	6.976s
