goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	10882184	        25.44 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11461717	        25.18 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11676482	        25.98 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12145744	        25.31 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10625170	        27.72 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10269073	        27.78 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11581165	        25.67 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12226238	        25.53 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11334776	        25.37 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11207096	        25.51 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11137604	        25.32 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11645649	        25.69 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10999754	        28.09 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10308871	        28.03 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10530001	        27.57 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11002641	        28.17 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10128825	        27.99 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10452739	        27.92 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11023918	        28.04 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10869704	        28.38 ns/op	     128 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_RETURNED_POINTER	6.491s
