goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_RETURNED_ALLOCATING_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 2082973	       146.8 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2050780	       148.0 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2040381	       143.8 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 1990562	       144.3 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 1964114	       147.6 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2059959	       145.8 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2090962	       147.0 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2042250	       144.3 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2099864	       147.6 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2004188	       143.6 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 1961258	       144.0 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2048714	       147.7 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2090329	       141.4 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2099041	       141.7 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2058795	       143.1 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2101346	       147.8 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2013722	       145.2 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2204940	       135.9 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2133426	       138.6 ns/op	    1072 B/op	       3 allocs/op
BenchmarkSubject 	 2201472	       143.4 ns/op	    1072 B/op	       3 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_RETURNED_ALLOCATING_K2_POINTER	8.926s
