goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_RETURNED_ALLOCATING_R16_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  124246	      2234 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  132361	      2214 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  120777	      2232 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  136965	      2248 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  134540	      2193 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  130869	      2252 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  124916	      2349 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  124159	      2331 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  131274	      2292 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  133172	      2209 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  128775	      2234 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  132309	      2261 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  138217	      2261 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  131331	      2247 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  127777	      2219 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  124150	      2311 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  129559	      2369 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  136934	      2278 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  135441	      2237 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  134985	      2209 ns/op	   17152 B/op	      48 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_RETURNED_ALLOCATING_R16_K2_POINTER	6.390s
