goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_RETURNED_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	11913969	        24.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12269704	        24.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12075900	        24.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11510361	        25.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11957727	        24.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12144732	        25.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11972919	        24.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12029047	        24.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12123086	        24.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12100232	        24.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12025413	        24.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11973319	        24.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11842738	        24.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12196749	        24.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12189403	        24.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11965857	        24.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12118046	        24.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11659076	        24.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	12014574	        24.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11674638	        24.78 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_RETURNED_VALUE	6.492s
