goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1951281	       143.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2121363	       145.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2072274	       148.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1977972	       144.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2154770	       140.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2054941	       157.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2048043	       149.7 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1918879	       150.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1983214	       155.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1950822	       151.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1960658	       155.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1976037	       151.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1945048	       158.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1952030	       152.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1825694	       154.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1983927	       151.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1960354	       149.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2004682	       151.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1956100	       153.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1938302	       155.0 ns/op	    1024 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_SENT_ON_CHANNEL_POINTER	9.098s
