goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_SENT_ON_CHANNEL_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 4011091	        68.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4412072	        73.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4412988	        68.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4029414	        69.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4371268	        73.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4350974	        69.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4040548	        70.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4348924	        74.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4345557	        69.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3993883	        70.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4316341	        73.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4342874	        70.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3986804	        70.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4326210	        74.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4337566	        68.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4035069	        69.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4327921	        76.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4309311	        69.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4089168	        68.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4347222	        74.14 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPlain_SENT_ON_CHANNEL_VALUE	7.492s
