goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1898482	       151.5 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1854726	       159.6 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1870453	       158.5 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1917627	       162.0 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1911758	       160.9 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1905982	       160.2 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1933917	       157.8 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1905355	       157.6 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1891748	       154.5 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1916077	       158.6 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1865540	       157.0 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1893926	       155.7 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1944973	       157.7 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1906884	       161.1 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1786860	       158.1 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1944912	       159.0 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1923970	       158.4 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1888953	       157.3 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1928517	       156.2 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1599357	       159.9 ns/op	    1176 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_POINTER	9.218s
