goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R16_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  109390	      2665 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  111160	      2695 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  103486	      2728 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  112368	      2987 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  100105	      2687 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  107067	      2763 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  108138	      2717 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  104197	      2713 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  105430	      2710 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  112189	      2695 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  102879	      2728 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  104949	      2796 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  107119	      2716 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  109257	      2693 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  110272	      2741 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  106707	      2698 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  109844	      2727 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  107511	      2726 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  105014	      2733 ns/op	   19200 B/op	      48 allocs/op
BenchmarkSubject 	  103869	      2696 ns/op	   19200 B/op	      48 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R16_K2_POINTER	6.441s
