goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R16_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  376833	       744.7 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  376495	       731.6 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  384476	       740.7 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  360445	       742.4 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  387468	       739.4 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  378938	       735.2 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  385993	       737.5 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  371054	       752.6 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  352221	       746.6 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  367396	       748.7 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  361786	       751.2 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  373902	       749.2 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  370882	       752.2 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  364896	       751.7 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  351036	       752.1 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  370150	       752.5 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  364935	       748.5 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  376563	       754.5 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  364113	       751.9 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  380136	       750.9 ns/op	     384 B/op	      16 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R16_VALUE	5.725s
