goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R4_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1549562	       194.3 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1539027	       198.0 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1533696	       195.1 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1473804	       196.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1525483	       193.1 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1481290	       203.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1537489	       192.8 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1534495	       198.6 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1536496	       197.5 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1516623	       194.8 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1543754	       193.0 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1548804	       197.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1550950	       192.3 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1522671	       199.9 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1517870	       198.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1527687	       195.0 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1550182	       194.8 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1535400	       195.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1540155	       194.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 1542189	       194.6 ns/op	      96 B/op	       4 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R4_VALUE	9.987s
