goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_STORED_IN_MAP_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1923004	       145.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1986470	       149.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2028240	       149.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2028951	       154.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1921071	       158.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1955529	       149.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2005017	       149.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1984471	       151.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1935998	       156.5 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1934151	       147.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1978705	       150.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1982346	       149.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1976497	       149.8 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2068740	       149.5 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1760029	       149.8 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2030149	       148.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2026159	       147.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2032105	       146.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2047249	       147.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2003554	       144.6 ns/op	    1152 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_STORED_IN_MAP_POINTER	9.009s
