goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_STORED_IN_SLICE_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	22061278	        13.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22069372	        13.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22108662	        13.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22238845	        13.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22179571	        13.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22179427	        13.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22001013	        13.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22230763	        13.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22077086	        13.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	21863662	        13.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22248880	        13.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	21898879	        13.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22035217	        13.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22342327	        13.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	21404638	        13.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22048128	        13.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22160583	        13.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22095765	        13.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22105533	        13.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	22212400	        13.67 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_STORED_IN_SLICE_VALUE	6.316s
