goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_CAPTURED_BY_CLOSURE_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 2012810	       150.0 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1989531	       142.2 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2108487	       144.7 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2086384	       144.3 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2098012	       146.9 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2049204	       142.1 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2001152	       145.7 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2023580	       143.5 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2092477	       152.3 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1851994	       154.9 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2148993	       147.8 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1776207	       172.7 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1938847	       153.0 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1876792	       149.0 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1989789	       152.4 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1921182	       149.4 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1992871	       148.1 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2028170	       146.8 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 1984717	       146.7 ns/op	    1040 B/op	       2 allocs/op
BenchmarkSubject 	 2015935	       142.0 ns/op	    1040 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_CAPTURED_BY_CLOSURE_VALUE	8.991s
