goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R16_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  120967	      2396 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  120416	      2351 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  115941	      2354 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  113896	      2341 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  134450	      2402 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  123805	      2371 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  127948	      2633 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  132213	      2382 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  119366	      2354 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  126758	      2273 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  124345	      2391 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  129976	      2363 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  133276	      2280 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  114385	      2323 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  123664	      2391 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  127713	      2313 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  118419	      2317 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  128997	      2291 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  129627	      2340 ns/op	   17152 B/op	      48 allocs/op
BenchmarkSubject 	  130537	      2293 ns/op	   17152 B/op	      48 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R16_K2_POINTER	6.401s
