goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R16_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  142936	      2088 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  148142	      2084 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  142371	      2139 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  136810	      2123 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  139107	      2080 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  126415	      2182 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  143192	      2063 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  149376	      2116 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  144840	      2092 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  144981	      2116 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  141769	      2088 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  137169	      2056 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  144541	      2096 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  136543	      2162 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  134985	      2094 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  147768	      2070 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  140786	      2108 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  142888	      2089 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  133986	      2069 ns/op	   16768 B/op	      32 allocs/op
BenchmarkSubject 	  142182	      2117 ns/op	   16768 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R16_POINTER	6.381s
