goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R16_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  310520	       864.0 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  326827	       850.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  320656	       843.4 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  350694	       844.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  337969	       839.2 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  344890	       855.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  346278	       863.8 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  345465	       856.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  304604	       863.6 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  301768	       854.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  344257	       854.1 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  332650	       879.7 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  332217	       854.4 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  335668	       841.1 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  343940	       842.4 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  330566	       852.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  330423	       852.5 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  333416	       848.9 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  337030	       843.2 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	  344185	       839.8 ns/op	     384 B/op	      16 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R16_VALUE	5.878s
