goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R4_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  459373	       561.9 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  544704	       559.1 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  508884	       535.3 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  457456	       549.9 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  466309	       574.9 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  491634	       536.6 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  555381	       549.7 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  508897	       547.4 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  523910	       539.2 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  527208	       559.5 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  453517	       556.2 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  498603	       566.2 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  532311	       545.0 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  479314	       550.1 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  540780	       540.6 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  486669	       541.6 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  474568	       543.2 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  523616	       546.0 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  539746	       552.6 ns/op	    4192 B/op	       8 allocs/op
BenchmarkSubject 	  480308	       563.7 ns/op	    4192 B/op	       8 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_RETURNED_ALLOCATING_R4_POINTER	6.648s
