goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1972312	       151.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2004001	       149.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1963258	       151.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1943653	       165.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1765473	       171.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1968166	       153.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1914262	       160.7 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1955980	       156.7 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1867816	       154.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2000965	       152.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2008790	       147.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1947859	       151.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2058202	       144.7 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 1981339	       151.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2016484	       146.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2045348	       146.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2014980	       145.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2005452	       147.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2042406	       147.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2084758	       150.1 ns/op	    1024 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_SENT_ON_CHANNEL_POINTER	9.119s
