goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_STORED_IN_MAP_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 2164645	       134.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2162232	       131.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2238144	       134.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2274402	       131.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2276613	       135.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2279310	       133.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2275058	       132.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2241152	       133.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2313480	       131.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2237961	       139.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2229378	       140.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2230831	       138.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2234803	       133.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2214385	       134.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2269606	       141.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2135740	       138.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2229106	       137.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2165427	       134.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2228845	       135.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2221994	       135.6 ns/op	    1024 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_STORED_IN_MAP_POINTER	8.789s
