goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_STORED_IN_SLICE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 2377442	       126.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2402732	       126.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2399601	       126.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2405196	       125.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2408029	       124.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2392609	       125.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2413346	       124.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2443669	       126.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2283064	       124.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2469799	       121.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2336656	       125.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2300869	       130.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2308365	       126.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2340254	       124.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2367780	       124.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2404198	       127.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2333841	       127.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2312992	       130.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2425504	       124.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkSubject 	 2389617	       129.0 ns/op	    1024 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Plain_STORED_IN_SLICE_POINTER	8.590s
