goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1859587	       157.7 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1930084	       156.4 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1964955	       153.3 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1914102	       155.1 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1934444	       156.4 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1932952	       162.2 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1811056	       166.4 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1845288	       162.0 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1936986	       159.0 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1870563	       157.1 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1870995	       158.7 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1973670	       156.6 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1851211	       163.0 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1935766	       161.1 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1929626	       154.6 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1831064	       156.7 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1922277	       153.3 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1957900	       155.7 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1991050	       154.0 ns/op	    1176 B/op	       2 allocs/op
BenchmarkSubject 	 1941748	       157.4 ns/op	    1176 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_POINTER	9.199s
