goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_R16_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  263530	      1093 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  280207	      1081 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  264896	      1072 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  269194	      1054 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  277725	      1079 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  272509	      1075 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  284211	      1064 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  263974	      1098 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  274654	      1096 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  283887	      1067 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  283104	      1082 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  244772	      1146 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  246812	      1153 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  267117	      1144 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  269815	      1041 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  268798	      1060 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  265269	      1098 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  255146	      1080 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  263781	      1073 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  264943	      1082 ns/op	     768 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_R16_K2_VALUE	6.077s
