goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_R4_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  360582	       700.2 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  399711	       704.4 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  409188	       668.8 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  400422	       681.4 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  447249	       726.8 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  445975	       695.9 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  417590	       732.2 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  430894	       679.7 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  400118	       709.1 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  387018	       678.4 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  428108	       630.9 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  405828	       627.4 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  411290	       621.5 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  407326	       632.0 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  475442	       628.9 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  413380	       620.6 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  451086	       630.6 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  409731	       619.7 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  472119	       632.0 ns/op	    4704 B/op	       8 allocs/op
BenchmarkSubject 	  410737	       628.4 ns/op	    4704 B/op	       8 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_R4_POINTER	7.226s
