goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 5023819	        58.69 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5104164	        59.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 4685126	        58.85 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5149063	        61.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5072156	        58.92 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 4890954	        59.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5170069	        58.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5119987	        58.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5019990	        58.81 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5097966	        58.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5014970	        59.63 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5111427	        59.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 4883690	        59.26 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5090734	        58.80 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 4930208	        58.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 4978041	        58.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5113933	        59.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5035760	        58.63 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5137519	        58.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5193850	        59.07 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_ALLOCATING_VALUE	7.178s
