goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1994019	       147.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2074996	       146.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2058136	       150.8 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2019424	       145.5 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2006256	       149.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2041574	       146.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2069984	       144.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2067704	       148.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2052729	       146.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2085945	       148.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1951958	       151.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2038820	       154.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2034501	       143.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2002250	       145.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2054923	       143.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2069931	       145.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2077948	       145.2 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2096314	       146.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2122358	       144.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 2014370	       145.7 ns/op	    1152 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_POINTER	9.029s
