goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 5616176	        53.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5489199	        54.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5574764	        53.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5691943	        53.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5666107	        54.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4890961	        52.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5141980	        54.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5721622	        53.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5636796	        54.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5722494	        53.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5704782	        53.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5684062	        52.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5672649	        54.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5582312	        53.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5641548	        54.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 4866325	        52.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5583291	        53.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5755002	        53.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5750299	        54.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5665932	        53.07 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_RETURNED_VALUE	7.078s
