goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1653096	       181.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1658934	       182.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1630681	       185.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1713559	       177.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1731933	       174.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1719607	       172.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1653696	       179.5 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1766704	       178.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1700893	       172.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1698223	       176.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1737332	       173.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1648436	       173.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1660248	       185.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1645818	       179.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1699287	       174.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1658574	       182.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1683768	       182.2 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1640097	       177.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1691722	       195.2 ns/op	    1152 B/op	       1 allocs/op
BenchmarkSubject 	 1685716	       185.0 ns/op	    1152 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_SENT_ON_CHANNEL_POINTER	9.600s
