goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_SENT_ON_CHANNEL_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 3498984	        84.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3391185	        87.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3519624	        91.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3483361	        89.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3566114	        85.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3480693	        85.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3539457	        85.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3417530	        85.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3432345	        87.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3574351	        89.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3403206	        84.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3583094	        84.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3577515	        84.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3518948	        84.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3601599	        85.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3520095	        84.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3512578	        83.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3511636	        84.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3605049	        88.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 3536500	        84.24 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_SENT_ON_CHANNEL_VALUE	7.794s
