goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_STORED_IN_MAP_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 5707910	        51.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5828605	        50.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5999566	        50.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5881551	        50.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 6066571	        49.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5968324	        50.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 6051122	        49.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 6022092	        49.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5950677	        51.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 6094042	        50.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 6124152	        49.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5939584	        52.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5787734	        53.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5998060	        50.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5814134	        50.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5986659	        50.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 6056672	        49.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5941162	        50.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 5980977	        50.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 6052987	        49.88 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_STORED_IN_MAP_VALUE	7.066s
