goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_STORED_IN_SLICE_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	16204660	        18.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16076125	        19.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16095808	        18.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16134255	        18.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	15851023	        18.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	14700428	        18.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16426422	        19.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	14930862	        18.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	15636085	        19.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16056688	        18.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16004115	        18.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16354648	        18.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16258551	        18.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	15555181	        18.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16219646	        19.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16025040	        18.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16607204	        19.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16350561	        18.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	14933970	        19.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	16394665	        18.51 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024Ptr_STORED_IN_SLICE_VALUE	6.405s
