goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/probe_APPEND_GROW_100000
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	    1045	    300651 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1086	    306950 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1029	    312800 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1054	    282603 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1069	    279928 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1116	    261463 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1212	    290348 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	     976	    283049 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1056	    290115 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1113	    272908 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1144	    279913 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1156	    258367 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1101	    261790 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1190	    260070 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1137	    257418 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1172	    293380 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1003	    344792 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1064	    339724 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1174	    361514 ns/op	 4101375 B/op	      27 allocs/op
BenchmarkSubject 	    1177	    326979 ns/op	 4101375 B/op	      27 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/probe_APPEND_GROW_100000	7.038s
