goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/probe_POINTER_CHASE_16384
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	347239105	         0.8406 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	324027984	         0.8502 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	337965015	         0.8519 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	365097336	         0.8414 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	363079939	         0.8319 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	361162879	         0.8346 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	352846438	         0.8498 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	347190070	         0.8404 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	346128543	         0.8631 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	340259566	         0.8688 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	344681551	         0.8683 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	352289626	         0.8630 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	357711280	         0.8415 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	343907884	         0.8472 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	354394230	         0.8443 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	353589876	         0.8615 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	357908299	         0.8785 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	359323062	         0.8321 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	356991645	         0.8568 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	361472958	         0.8345 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/probe_POINTER_CHASE_16384	7.975s
