goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/probe_POINTER_CHASE_268435456
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1561029	       171.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1494260	       173.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1727402	       174.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1844367	       170.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1820388	       168.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1718516	       162.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1782252	       164.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1773968	       164.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1795322	       171.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1897063	       184.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1844986	       164.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1785870	       171.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1784481	       176.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1841557	       163.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1834244	       164.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1824902	       176.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1349018	       218.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1516920	       194.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1530502	       226.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	 1424857	       216.8 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/probe_POINTER_CHASE_268435456	14.867s
