goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/probe_SCATTERED_SCAN_134217728
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	      15	  18524837 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  18646307 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  18551717 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  19796976 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  19105533 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  19189298 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  19332059 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  19144701 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  20328918 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  19706378 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  19521676 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      13	  20726139 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  19858997 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      13	  19970127 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  19486305 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  19370342 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  20607420 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  19260935 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      15	  19164875 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	      14	  19105510 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/probe_SCATTERED_SCAN_134217728	6.638s
