goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-57477f022103/subjects/probe_APPEND_PREALLOC_100000
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	    4224	     61327 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4479	     61480 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    5136	     61577 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4744	     60936 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    5200	     60658 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4351	     60434 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4518	     62283 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4803	     61278 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4268	     60023 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4912	     60371 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4467	     61753 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    5024	     60262 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    5257	     60804 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4966	     60432 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4200	     59763 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4669	     62104 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4830	     60514 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4825	     61318 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4936	     61513 ns/op	  802816 B/op	       1 allocs/op
BenchmarkSubject 	    4209	     62094 ns/op	  802816 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-57477f022103/subjects/probe_APPEND_PREALLOC_100000	6.619s
